Text,Date,label
Infosys has managed to cut the revenue difference with Cognizant by half in the last two years.The likely change in the pecking order is the result of the transformation taken at Infosys,13-01-2022,Neutral
Salil Parekh said Infosys is targeting a 20 per cent jump in annual revenues in FY22 and this presents a great opportunity for a fresher to join the company and grow,16-02-2022,Positive
"According to news reports, three prominent IT firms viz. Wipro, Cognizant and Infosys are heading to the Work From Office model that existed before the pandemic struck.",21-02-2022,Neutral
"As the number of Covid-19 virus cases have waned, majors like Wipro, Cognizant, TCS, Infosys are asking their employees to be ready to come back to the office. Know details.",21-02-2022,Neutral
"Infosys board will also approve and take on record the audited consolidated and standalone financial results of the company for the quarter and year ending March 31, 2022",15-03-2022,Neutral
TCS board will meet on 11 April and Infosys' on 12 and 13 April to approve financial results,01-04-2022,Neutral
"In Q3FY22, Infosys posted a net profit of ₹5,809 crore higher than ₹5,197 crore in the same quarter last year. Further, its revenue stood at ₹31,867 crore rising compared to ₹25,927 crore in Q3FY21.",11-04-2022,Positive
Infosys Ltd reported a weaker-than-expected profit in the fourth quarter as India’s No.2 software services exporter struggled to keep a lid on employee-related costs.  The news came just days after larger rival Tata Consultancy Services (TCS) also missed quarterly profit estimates as it spent more money to hire and retain employees.,13-04-2022,Negative
"Companies such as TCS, Infosys, Wipro, and Cognizant have seen record churn among their ranks",14-04-2022,Negative
"Infosys, facing record high attrition, said its non-compete clause is a standard business practice",20-04-2022,Neutral
"Earlier, Indian software behemoth Infosys Ltd moved out of business with Russia on April 13.",20-04-2022,Neutral
"It is standard business practice for employment contracts to include controls of reasonable scope and duration to protect confidentiality of information, says Infosys",20-04-2022,Neutral
"For FY22, the company's PAT jumped by 14.3% yoy to ₹22,110 crore, and revenue soared 21.1% yoy to ₹121,641 crore. Infosys delivered $16.3 billion in revenues with the highest annual growth in the last decade of 19.7% in constant currency with a robust operating margin of 23.0%.",23-07-2022,Positive
"In Q1FY23, Infosys registered a consolidated net profit of ₹5,360 crore rising by 3.2% yoy but down by 5.7% qoq as rising costs took the shine off deal wins in the quarter.",24-07-2022,Negative
"Among Sensex constituents, Tata Steel, Sun Pharma, Bajaj Finserv, IndusInd Bank, Infosys, Asian Paints, Reliance Industries and Bajaj Finance were the biggest gainer",29-07-2022,Positive
"Good morning! Here are the top stories to start your day. For more updates on F&O, click here. ⭐ Infosys lowers average variable pay According to reports, Infosys has reduced the average variable payout of employees to about 70% for the June quarter amid margin squeeze and high employee costs. Earlier, Wipro held back the variable pay…",23-08-2022,Negative
"Last week Infosys told employees in an email that the company was making ‘structured efforts’ to improve performance, as it cut variable pay",25-08-2022,Positive
"Buzzing stocks: Suzlon, One97 Communications, Info Edge India, Wipro, Infosys, Hindustan Zinc, Natco Pharma, GMR Infra, Olectra Greentech, HFCL, NxtDigital, Hinduja Global, HBL Power, Forbes, Eureka Forbes",04-09-2022,Neutral
"The share price of Infosys falls around 11% in the last 1 month, and fell by 3.38% in the last 5 days. On September 22, its share closed at Rs. 1,368 a piece, falling by 0.67% intra day. After the US Federal Reserve raised the interest rate by 75 bps, the stock markets went under pressure globally. The trend majorly dragged down the IT stocks, reflecting the same course in India.",22-09-2022,Negative
"Infosys hired 85,000, Wipro 17,000, TCS 100,000 and HCL 23,000 campus graduates or freshers in the last fiscal.",25-09-2022,Neutral
"Although, Infosys slightly missed analysts' estimates in terms of revenue, however, the company's EBIT margin was upbeat. It also witnessed a sharp drop in attrition rate, while making strong hiring in the quarter.",13-10-2022,Positive
"In Q2FY23, Infosys carried strong hiring and witnessed a sharp decline in attrition rate, while EBIT margins improved. Overall, Infosys' quarterly earnings were in line with estimates.",14-10-2022,Positive
"Infosys results were a mixed bag, but it helps that the positives outweighed the negatives.",16-10-2022,Negative
"In today’s India where startups are in vogue, it may be hard to imagine that the seven co-founders of Infosys Ltd, now the country’s second-largest IT services provider, were unaware of the term when they embarked on their entrepreneurial journey four decades ago",13-12-2022,Neutral
"Infosys informed that it will close the trading window from 16 December, 2022 and will re-open on 16 January, 2023",15-12-2022,Neutral
